PARCELA_ID,PLODINA_AK,ANOTHER
"562368",Trvalý travní porost,1.35
"275413",Sója,28.13
"562014",Pšenice setá ozimá,39.28
"562298",Ječmen jarní,1.53
"562333",Ječmen jarní,0.21
"582307",Řepka ozimá,12.9
"561942",Ječmen jarní,10.62
"582383",Kukuřice na zrno,19.9
"562316",Ječmen jarní,1.53
"562266",Kukuřice na zrno,3.02
"275325",Pšenice setá ozimá,21.4
"562243",Ječmen jarní,30.75
"562463",Trvalý travní porost,0.59
"275410",Ječmen jarní,5.4
"275371",Pšenice setá ozimá,5.07
"275104",Dočasný travní porost,4.38
"561903",Kukuřice na siláž,47.03
"561951",Řepka ozimá,37.92
"582375",Řepka ozimá,9.8
"562364",Pšenice setá ozimá,5.27
"562313",Ječmen jarní,3.98
"600174",Trvalý travní porost,0.62
"562365",Řepka ozimá,0.47
"561875",Kukuřice na zrno,2.42
"562281",Ječmen jarní,14.9
"562269",Ječmen jarní,2.48
"561938",Pšenice setá ozimá,14.61
"274535",Trvalý travní porost,5.98
"561977",Pšenice setá ozimá,5.81
"562254",Řepka ozimá,26.66
"292527",Řepka ozimá,18.97
"562252",Ječmen jarní,1.72
"557338",Ječmen jarní,16.8
"562007",Ječmen jarní,6.27
"562244",Ječmen jarní,9.24
"562355",Řepka ozimá,7.85
"600141",Ječmen jarní,62.37
"561908",Řepka ozimá,1.39
"606449",Trvalý travní porost,0.48
"309102",Řepka ozimá,14.42
"600156",Pšenice setá ozimá,34.37
"561891",Ječmen jarní,21.05
"562005",Ječmen jarní,5.15
"541788",Ječmen jarní,3.03
"275107",Trvalý travní porost,1.89
"562264",Ječmen jarní,1.1
"562319",Řepka ozimá,14.16
"562259",Řepka ozimá,9.38
"274610",Trvalý travní porost,4.88
"562309",Ječmen jarní,3.35
"600171",Trvalý travní porost,0.33
"558008",Ječmen jarní,52.61
"562342",Ječmen jarní,10.9
"562026",Ječmen jarní,17.9
"286568",Ječmen jarní,4.41
"561975",Kukuřice na zrno,2.03
"275373",Ječmen jarní,24.05
"600166",Ječmen ozimý dvouřadý,20.59
"582384",Pšenice setá ozimá,39.83
"562302",Řepka ozimá,9.49
"600085",Ječmen jarní,0.29
"562959",Řepka ozimá,1.61
"562286",Řepka ozimá,12.94
"562249",Řepka ozimá,2.16
"561940",Pšenice setá ozimá,6.09
"582388",Pšenice setá ozimá,10.14
"562013",Ječmen jarní,42.31
"286551",Řepka ozimá,23.83
"562958",Ječmen jarní,4.28
"562280",Pšenice setá ozimá,0.55
"561917",Kukuřice na zrno,10.11
"582303",Řepka ozimá,13.36
"561960",Ječmen jarní,3.15
